Gender,Married,Dependents,Education,Self_Employed,Credit_History,Property_Area,Loan_Status,Log_Total_Income,Log_LoanAmount,Log_Loan_Amount_Term
1,0,0,0,0,1.0,2,1,8.674196940225903,4.859812404361672,5.8888779583328805
1,1,1,0,0,1.0,0,0,8.714731714015052,4.859812404361672,5.8888779583328805
1,1,0,0,1,1.0,2,1,8.006700845440367,4.204692619390966,5.8888779583328805
1,1,0,1,0,1.0,2,1,8.505525386548555,4.795790545596741,5.8888779583328805
1,0,0,0,0,1.0,2,1,8.699681400989514,4.955827057601261,5.8888779583328805
1,1,2,0,1,1.0,2,1,9.170975648453906,5.5909869805108565,5.8888779583328805
1,1,0,1,0,1.0,2,1,8.25582842728183,4.564348191467836,5.8888779583328805
1,1,3,0,0,0.0,1,0,8.61993026886735,5.0689042022202315,5.8888779583328805
1,1,2,0,0,1.0,2,1,8.618485442898109,5.1298987149230735,5.8888779583328805
1,1,1,0,0,1.0,1,0,10.077860939480908,5.857933154483459,5.8888779583328805
1,1,2,0,0,1.0,2,1,8.268988209506656,4.2626798770413155,5.8888779583328805
1,1,2,0,0,1.0,2,1,8.375860015299594,4.700480365792417,5.8888779583328805
1,1,2,0,0,1.0,2,1,9.32188174670909,5.303304908059076,5.8888779583328805
1,0,0,0,0,1.0,0,0,8.454040376410969,4.74493212836325,5.8888779583328805
1,1,2,0,0,1.0,2,1,7.777373602657861,2.8903717578961645,4.795790545596741
1,0,0,0,0,1.0,2,1,8.507344855361422,4.836281906951478,5.8888779583328805
1,0,1,1,0,1.0,2,1,8.187855443695623,4.61512051684126,5.484796933490655
0,0,0,0,0,0.0,2,0,8.163656176168432,4.343805421853684,5.8888779583328805
1,1,0,1,0,1.0,0,0,8.494538500851432,4.897839799950911,5.8888779583328805
1,1,0,0,0,1.0,2,1,8.716207971151853,4.7535901911063645,5.8377304471659395
1,1,0,1,0,0.0,2,0,8.94389780251682,4.653960350157523,5.8888779583328805
1,1,1,0,0,1.0,2,1,9.357121103184378,5.755742213586912,5.8888779583328805
1,1,0,1,0,0.0,1,0,8.414495793177895,4.762173934797756,5.8888779583328805
